City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,tuni,17.35,82.55,26.51,83,81,2.38,IN,1723164452
119,mejit,10.2753,170.8646,28.3,79,66,7.62,MH,1723164453
120,fale old settlement,-9.3852,-171.2468,28.3,74,100,7.44,TK,1723164454
121,alice springs,-23.7,133.8833,20.75,32,0,2.57,AU,1723164455
122,cabo san lucas,22.8909,-109.9124,33.61,58,0,10.29,MX,1723164033
123,xiva,41.3783,60.3639,24.99,42,0,6.68,UZ,1723164458
124,uturoa,-16.7333,-151.4333,25.66,81,7,4.62,PF,1723164459
125,illizi,26.4833,8.4667,32.89,21,0,2.68,DZ,1723164460
126,sidi khaled,34.387,4.9879,33.16,23,0,2.97,DZ,1723164461
127,olonkinbyen,70.9221,-8.7187,4.81,98,100,3.56,SJ,1723164462
128,thompson,55.7435,-97.8558,19.09,45,75,3.6,CA,1723164464
129,aykol,38.1751,77.2132,24.77,30,0,2.03,CN,1723164465
130,glazunovka,52.4986,36.3275,13.5,96,4,3.15,RU,1723164466
131,shihezi,44.3,86.0333,30.04,21,0,2.49,CN,1723164467
132,uttaradit,17.6667,100.5,26.66,86,11,1.21,TH,1723164468
133,nadym,65.5333,72.5167,9.71,69,100,4.55,RU,1723164469
134,longyearbyen,78.2186,15.6401,10.91,87,0,0.0,SJ,1723164471
135,piti village,13.4626,144.6933,30.39,81,40,3.09,GU,1723164472
136,colon,9.3592,-79.9014,24.97,84,100,0.45,PA,1723164473
137,aykhal,66.0,111.5,10.21,87,99,5.33,RU,1723164474
138,bubaque,11.2833,-15.8333,26.37,84,100,5.88,GW,1723164475
139,margaret river,-33.95,115.0667,16.69,77,45,5.32,AU,1723164477
140,cuyo,10.8525,121.0086,28.82,77,100,4.45,PH,1723164478
141,la cruz,23.9167,-106.9,29.8,77,19,5.02,MX,1723164479
142,nuuk,64.1835,-51.7216,4.34,93,100,2.06,GL,1723164214
143,cidade velha,14.9167,-23.6167,25.87,80,61,2.84,CV,1723164481
144,rabaul,-4.1967,152.1721,29.5,69,11,6.11,PG,1723164482
145,namibe,-15.1961,12.1522,16.1,88,0,2.46,AO,1723164202
146,stephenville,32.2207,-98.2023,36.25,35,0,4.12,US,1723164485
147,carbonear,47.7332,-53.2148,17.91,80,99,2.69,CA,1723164486
148,kinkala,-4.3614,14.7644,19.96,73,10,2.14,CG,1723164487
149,kayangel,8.0823,134.7173,28.56,74,100,4.28,PW,1723164488
150,selfoss,63.9331,-20.9971,10.58,88,100,2.04,IS,1723164489
151,alibag,18.6411,72.8792,27.04,84,100,2.2,IN,1723164491
152,hithadhoo,-0.6,73.0833,27.92,73,100,4.24,MV,1723164492
153,amga,60.8953,131.9608,21.17,48,21,0.86,RU,1723164493
154,rurrenabaque,-14.4413,-67.5278,19.7,97,100,1.69,BO,1723164494
155,khromtau,50.2503,58.4347,14.64,91,48,6.52,KZ,1723164495
156,inderbor,48.55,51.7833,25.98,37,47,2.73,KZ,1723164496
157,qui nhon,13.7667,109.2333,31.41,57,20,2.47,VN,1723164498
158,new norfolk,-42.7826,147.0587,13.84,66,100,2.01,AU,1723164499
159,villa gesell,-37.2639,-56.973,8.85,83,97,11.06,AR,1723164500
160,villa ojo de agua,-29.5,-63.6938,5.21,47,0,3.43,AR,1723164501
161,hailey,43.5196,-114.3153,29.94,20,0,6.71,US,1723164502
162,caucete,-31.6518,-68.2811,6.87,44,0,2.21,AR,1723164503
163,kapuskasing,49.4169,-82.4331,16.05,100,100,4.12,CA,1723164505
164,crane,31.3974,-102.3501,38.05,17,21,6.23,US,1723164506
165,labuan bajo,-8.4964,119.8877,27.13,67,0,0.73,ID,1723164507
166,atafu village,-8.5421,-172.5159,28.92,74,34,8.91,TK,1723164508
167,cockburn town,21.4612,-71.1419,28.13,84,100,7.66,TC,1723164509
168,palmer,42.1584,-72.3287,19.17,82,100,2.06,US,1723164511
169,magadan,59.5667,150.8,14.6,83,48,1.67,RU,1723164512
170,qusmuryn,52.4503,64.6311,13.97,86,100,8.54,KZ,1723164513
171,mana,5.6592,-53.7767,26.15,87,24,5.22,GF,1723164514
172,ta`u,-14.2336,-169.5144,25.31,74,100,10.48,AS,1723164515
173,port blair,11.6667,92.75,26.02,94,40,1.03,IN,1723164518
174,kas,36.2018,29.6377,27.4,65,1,1.08,TR,1723164519
175,biltine,14.5333,20.9167,22.81,90,100,2.95,TD,1723164520
176,remire-montjoly,4.9167,-52.2667,27.02,89,20,1.54,GF,1723164521
177,galesong,-5.3166,119.3661,28.01,61,2,1.15,ID,1723164522
178,hotan,37.0997,79.9269,24.91,30,0,3.35,CN,1723164523
179,puerto baquerizo moreno,-0.9,-89.6,19.67,76,75,5.72,EC,1723164525
180,huancabamba,-5.2386,-79.4506,14.93,89,11,2.33,PE,1723164526
181,mogocha,53.7333,119.7667,21.13,55,100,1.0,RU,1723164527
182,mirriah,13.7073,9.1501,27.29,69,100,5.68,NE,1723164528
183,enewetak,11.3474,162.3373,29.17,74,43,6.46,MH,1723164530
184,dunedin,-45.8742,170.5036,9.06,67,3,2.02,NZ,1723164463
185,hadibu,12.65,54.0333,25.06,80,58,7.69,YE,1723164532
186,amahai,-3.3333,128.9167,26.09,83,50,5.75,ID,1723164533
187,la passe,45.5549,-0.8967,18.88,83,7,3.55,FR,1723164534
188,pemangkat,1.1667,108.9667,26.69,85,100,2.68,ID,1723164535
189,manokwari,-0.8667,134.0833,28.29,69,97,1.39,ID,1723164537
190,pama,11.2497,0.7075,23.57,90,100,2.02,BF,1723164538
191,choma,-16.8065,26.9531,15.79,29,0,1.23,ZM,1723164539
192,ghadamis,30.1337,9.5007,27.83,33,0,4.07,LY,1723164540
193,dudinka,69.4058,86.1778,9.81,64,18,8.15,RU,1723164541
194,goundam,16.4145,-3.6708,29.08,65,100,5.96,ML,1723164543
195,ludington,43.9553,-86.4526,22.34,80,100,4.12,US,1723164544
196,malango,-2.9627,119.9001,22.71,82,40,1.55,ID,1723164545
197,rodolfo sanchez taboada,31.7167,-116.5667,22.28,61,28,1.34,MX,1723164546
198,portland,45.5234,-122.6762,36.08,36,20,5.14,US,1723163939
199,artigas,-30.4,-56.4667,6.33,84,100,6.88,UY,1723164548
200,tughyl,47.7252,84.2063,22.43,47,91,1.09,KZ,1723164550
201,koulamoutou,-1.1303,12.4736,20.58,85,21,0.97,GA,1723164551
202,rio preto da eva,-2.6994,-59.6997,25.84,50,8,1.12,BR,1723164552
203,tsiombe,-25.3,45.4833,18.45,75,0,2.21,MG,1723164553
204,suva,-18.1416,178.4415,26.71,61,75,4.12,FJ,1723164554
205,tura,25.5198,90.2201,24.29,97,100,2.4,IN,1723164555
206,copiapo,-27.3667,-70.3333,12.46,52,0,0.53,CL,1723164557
207,cill airne,52.05,-9.5167,13.1,96,95,2.64,IE,1723164558
208,tutoia,-2.7619,-42.2744,26.27,80,5,5.78,BR,1723164559
209,badger,64.8,-147.5333,20.95,67,75,4.63,US,1723164560
210,toliara,-23.35,43.6667,19.44,85,0,1.67,MG,1723164561
211,san rafael,-34.6177,-68.3301,6.2,52,0,3.8,AR,1723164563
212,minas de marcona,-15.2119,-75.1103,10.21,90,78,6.0,PE,1723164564
213,villa emilio carranza,19.9667,-96.6,28.36,82,10,4.8,MX,1723164565
214,antsiranana,-12.2787,49.2917,22.09,69,6,7.34,MG,1723164566
215,yayladagi,35.9025,36.0627,22.59,91,41,3.32,TR,1723164567
216,arraial do cabo,-22.9661,-42.0278,20.98,100,0,2.06,BR,1723164568
217,siuntio,60.1386,24.2272,19.35,86,100,1.42,FI,1723164570
218,severo-yeniseyskiy,60.3725,93.0408,16.4,71,38,0.57,RU,1723164571
219,nairn,57.5809,-3.8797,13.98,96,40,1.54,GB,1723164572
220,nar'yan-mar,67.6713,53.087,6.76,80,19,2.3,RU,1723164573
221,san antonio de pale,-1.4014,5.6325,22.91,83,100,3.66,GQ,1723164574
222,forster,-32.1667,152.5167,19.05,64,100,2.06,AU,1723164576
223,cajamarca,-7.1638,-78.5003,12.5,85,39,0.95,PE,1723164577
224,vernon,50.2581,-119.2691,32.74,25,16,1.79,CA,1723164578
225,verkhnevilyuysk,63.4453,120.3167,22.28,45,0,1.31,RU,1723164579
226,vorgashor,67.5833,63.95,8.22,75,7,1.41,RU,1723164580
227,xinyu,27.8043,114.9334,32.84,54,7,2.17,CN,1723164581
228,chiredzi,-21.05,31.6667,14.67,72,0,0.95,ZW,1723164583
229,sretensk,52.2453,117.7093,23.87,44,6,0.95,RU,1723164584
230,salalah,17.0151,54.0924,24.05,100,100,4.12,OM,1723164585
231,santiago de cao,-7.9589,-79.2392,17.07,88,12,3.09,PE,1723164586
232,flin flon,54.7682,-101.865,20.62,39,60,1.96,CA,1723164587
233,hamilton,39.1834,-84.5333,27.65,72,100,1.34,US,1723164589
234,comodoro rivadavia,-45.8667,-67.5,10.92,58,0,7.72,AR,1723164590
235,zaragoza,41.6561,-0.8773,25.45,59,0,6.69,ES,1723164592
236,lalibela,12.0333,39.0333,13.42,93,5,0.38,ET,1723164593
237,anzhero-sudzhensk,56.081,86.0285,14.78,94,81,2.0,RU,1723164594
238,vilyuchinsk,52.9306,158.4028,15.15,98,100,2.03,RU,1723164596
239,leer,53.2316,7.461,19.97,80,100,5.85,DE,1723164597
240,mountain home,43.133,-115.6912,33.9,15,0,3.13,US,1723164598
241,hasaki,35.7333,140.8333,31.27,80,0,6.54,JP,1723164599
242,west kelowna,49.8625,-119.5833,32.16,23,0,5.66,CA,1723164600
243,bathurst,-33.4166,149.5806,12.76,75,86,0.45,AU,1723164602
244,lautoka,-17.6167,177.4667,27.92,51,75,4.63,FJ,1723164603
245,ust'-kulom,61.6864,53.6902,8.53,89,7,1.35,RU,1723164604
246,daulatpur,26.5015,67.9706,32.35,64,74,1.2,PK,1723164605
247,walvis bay,-22.9575,14.5053,10.05,67,0,5.64,NA,1723164606
248,meadow lake,34.8014,-106.5436,31.55,31,87,8.15,US,1723164608
249,babayevo,59.3936,35.9371,12.8,94,100,1.76,RU,1723164609
250,conde,-7.2597,-34.9075,22.7,100,75,2.06,BR,1723164610
251,bangui,4.3612,18.555,25.1,94,100,2.06,CF,1723164611
252,masjed soleyman,31.9364,49.3039,36.26,12,2,1.95,IR,1723164612
253,praia da vitoria,38.7333,-27.0667,23.14,88,0,1.15,PT,1723164613
254,prince albert,53.2001,-105.7677,18.97,48,75,1.54,CA,1723164615
255,motueka,-41.1333,173.0167,14.5,62,9,0.15,NZ,1723164616
256,happy valley-goose bay,53.3168,-60.3315,15.17,67,75,2.57,CA,1723164617
257,port lincoln,-34.7333,135.8667,14.08,70,98,3.52,AU,1723164618
258,mandera,3.9366,41.867,25.6,54,100,7.33,KE,1723164619
259,hermanus,-34.4187,19.2345,13.78,80,18,14.0,ZA,1723164621
260,alamosa,37.4695,-105.87,21.99,40,40,6.17,US,1723164622
261,okhotsk,59.3833,143.3,19.23,62,7,2.49,RU,1723164623
262,farah,32.5,62.5,29.17,10,0,2.77,AF,1723164624
263,galveston,29.3669,-94.9669,33.91,68,0,4.12,US,1723164625
264,vanino,49.0869,140.2543,16.53,88,100,1.27,RU,1723164626
265,banda aceh,5.5577,95.3222,27.51,78,99,1.24,ID,1723164628
266,iskateley,67.6803,53.1512,6.81,80,19,2.27,RU,1723164629
267,vanimo,-2.6741,141.3028,29.53,70,22,2.55,PG,1723164630
268,mehar,27.1807,67.8229,32.95,62,79,2.68,PK,1723164632
269,dashiqiao,40.6373,122.5025,28.2,80,100,0.38,CN,1723164634
270,barcelos,41.5388,-8.6151,18.16,87,0,0.33,PT,1723164635
271,ceeldheer,3.8488,47.1806,24.39,80,100,8.2,SO,1723164636
272,lospalos,-8.5186,127.0025,24.87,61,22,5.75,TL,1723164637
273,tommot,58.9564,126.2925,20.36,54,0,2.56,RU,1723164638
274,nykarleby,63.5228,22.5307,14.45,94,100,2.05,FI,1723164639
275,aktau,43.65,51.2,23.32,77,0,4.87,KZ,1723164641
276,port said,31.2565,32.2841,27.99,78,0,2.06,EG,1723164642
277,geraldton,-28.7667,114.6,12.23,94,0,3.6,AU,1723164645
278,skovorodino,53.9833,123.9167,18.79,75,99,0.97,RU,1723164647
279,malpe,13.35,74.7167,23.61,93,95,2.07,IN,1723164649
280,micheweni,-4.9667,39.8333,23.54,78,30,3.55,TZ,1723164650
281,otra banda,18.6502,-68.6628,28.36,85,6,3.99,DO,1723164651
282,weno,7.4515,151.8468,28.97,89,100,3.09,FM,1723164652
283,box elder,41.5005,-112.8764,27.55,29,100,2.67,US,1723164654
284,miches,18.9836,-69.0476,26.68,88,3,3.59,DO,1723164655
285,suances,43.4334,-4.0434,21.17,100,100,0.0,ES,1723164656
286,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,100,100,4.0,RU,1723164657
287,ribeira brava,32.65,-17.0667,23.35,75,6,1.07,PT,1723164658
288,changzhou,31.7833,119.9667,33.17,58,20,2.09,CN,1723164660
